TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
164.414 2.29843 12.5376 86.1284 12.5376 96.353 12.5376 96.353 0.250012 1.45327
295.51 2.87698 14.5923 63.7357 14.5923 88.7881 14.5923 88.7881 0.25008 1.07522
386.024 0.324424 31.6715 74.8833 31.6715 88.7298 31.6715 88.7298 0.5 1.13047
452.77 0.486609 20.7613 47.6156 20.7613 97.7008 20.7613 97.7008 0.5 1.03073
498.5 2.77371 13.5318 38.6946 13.5318 23264.8 13.5318 23264.8 0.5 1.28024
537.1 2.98777 579.295 466090 0 122.041 13.5318 23264.8 1.25 1.12041
559.8 2.98777 436.588 303421 0 122.041 13.5318 23264.8 1 1.12041
576.4 2.98777 478.279 332396 0 122.041 13.5318 23264.8 1.25 1.12041
601.7 2.98777 609.437 423548 0 122.041 13.5318 23264.8 1.25 1.12041
611.9 2.98777 537.863 373806 0 122.041 13.5318 23264.8 1.25 1.12041
