TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.5 2.83958 7.82356e-07 2.4658 7.82356e-07 85.9915 7.82356e-07 85.9915 1.32009 1.22007
297.6 3.99179 19.3013 38.3324 19.3013 91.785 19.3013 91.785 0.510502 0.871047
384.1 0.820068 37.4676 49.97 37.4676 98.0833 37.4676 98.0833 0.94949 0.788714
452.449 3.29856 1.46659e-08 26.4594 1.46642e-08 85.9897 1.46642e-08 85.9897 1.99994 1.0711
502.5 0.165244 97.2397 43.0799 97.2397 127.039 97.2397 127.039 1.41252 0.430767
537.1 2.98777 510.116 276317 0 118.984 97.2397 127.039 1.25 1.12041
559.8 2.98777 399.041 277327 0 118.984 97.2397 127.039 1 1.12041
576.4 2.98777 477.13 331597 0 118.984 97.2397 127.039 1.25 1.12041
601.7 2.98777 506.983 352344 0 118.984 97.2397 127.039 1.25 1.12041
611.9 2.98777 540.057 375330 0 118.984 97.2397 127.039 1.25 1.12041
