TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
166.32 3.24697 8.54316e-09 1.08393 1.60276e-08 51.6517 1.60276e-08 51.6517 0.250157 1.05888
293.6 0.183665 35.4446 32.2258 35.4445 55.6709 35.4445 55.6709 1.75 1.02431
384.1 0.764743 63.3162 23.8888 63.3162 58.7757 63.3162 58.7757 1.05955 0.243202
452.588 0.517552 32.0558 18.9334 32.0558 47.0582 32.0558 47.0582 0.881935 0.299843
500.078 0.6599 45.2393 23.6606 45.2393 72.2515 45.2393 72.2515 1.26881 0.450207
537.1 2.98777 75.4926 43449.7 0 67.9833 45.2393 72.2515 1.25 1.12041
559.8 2.98777 135.005 93826.5 0 67.9833 45.2393 72.2515 1 1.12041
576.4 2.98777 149.321 103775 0 67.9833 45.2393 72.2515 1.25 1.12041
601.7 2.98777 162.148 112690 0 67.9833 45.2393 72.2515 1.25 1.12041
611.9 2.98777 121.611 84517.3 0 67.9833 45.2393 72.2515 1.25 1.12041
