TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.005 0.330144 10.6191 5628.74 10.6191 498.008 10.6191 498.008 0.250001 1.49666
295.979 3.12979 1.04221e-05 20.9322 1.04221e-05 86.3913 1.04221e-05 86.3913 0.250221 1.05744
384.1 2.82329 6.98978e-09 9.17723 5.76938e-09 85.5409 5.76938e-09 85.5409 0.500015 1.06885
451.843 0.845388 134.411 90.5424 134.407 95.4046 134.407 95.4046 2 1.15152
501.946 0.313973 54.3964 32.1244 54.3964 124.197 54.3964 124.197 0.635888 0.275674
537.1 2.98777 651.849 539019 0 119.555 54.3964 124.197 1.25 1.12041
559.8 2.98777 390.833 271623 0 119.555 54.3964 124.197 1 1.12041
576.4 2.98777 518.997 360694 0 119.555 54.3964 124.197 1.25 1.12041
601.7 2.98777 504.334 350503 0 119.555 54.3964 124.197 1.25 1.12041
611.9 2.98777 507.592 352768 0 119.555 54.3964 124.197 1.25 1.12041
