TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
164.979 2.8631 1.30583e-07 38.4977 1.30583e-07 107.314 1.30583e-07 107.314 0.466436 1.38008
296.04 0.342757 185.164 10180.7 185.164 3562.56 185.164 3562.56 0.267028 0.958827
385.946 0.977696 8.24372 34.6892 8.24372 111.801 8.24372 111.801 0.500003 1.34812
449.1 0.0487411 84.9801 39.5329 84.9801 109.755 84.9801 109.755 0.670333 0.185557
499.75 0.771479 162.691 129.26 162.691 153.942 162.691 153.942 2 1.48819
537.1 2.98777 799.614 466219 0 147.122 162.691 153.942 1.25 1.12041
559.8 2.98777 647.211 449801 0 147.122 162.691 153.942 1 1.12041
576.4 2.98777 782.695 543959 0 147.122 162.691 153.942 1.25 1.12041
601.7 2.98777 704.363 489520 0 147.122 162.691 153.942 1.25 1.12041
611.9 2.98777 905.519 629320 0 147.122 162.691 153.942 1.25 1.12041
