TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
164.63 2.24128 8.68786 94.4013 8.68786 944903 8.68786 944903 0.250007 0.77283
294.979 0.086697 140.449 1885.5 140.449 463.947 140.449 463.947 0.250879 0.750408
384.1 2.84382 5.0673e-08 4.36029 4.18372e-08 78.0641 4.18372e-08 78.0641 0.500027 1.06964
450.972 0.325212 26.2639 78.7739 26.2639 74.7661 26.2639 74.7661 0.500001 1.45822
500.994 2.54857 1.5436e-06 34.2141 1.5436e-06 102.631 1.5436e-06 102.631 0.500001 0.777523
537.1 2.98777 398.711 215971 0 102.631 1.5436e-06 102.631 1.25 1.12041
559.8 2.98777 268.366 186510 0 102.631 1.5436e-06 102.631 1 1.12041
576.4 2.98777 337.807 234770 0 102.631 1.5436e-06 102.631 1.25 1.12041
601.7 2.98777 301.187 209320 0 102.631 1.5436e-06 102.631 1.25 1.12041
611.9 2.98777 343.682 238853 0 102.631 1.5436e-06 102.631 1.25 1.12041
