TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.487 2.01812 1.04594 11.9638 1.04594 71.3479 1.04594 71.3479 0.25 0.980583
293.6 0.878216 14.8998 35.0502 14.8998 84.0448 14.8998 84.0448 0.568829 1.15194
384.437 0.413662 65.269 31.0441 65.269 83.47 65.269 83.47 0.838842 0.258123
453.1 0.263966 14.7907 29.0324 14.7907 74.8255 14.7907 74.8255 0.849902 1.1271
498.628 2.74621 13.2087 33.3302 13.2087 95.1874 13.2087 95.1874 0.5 1.14769
537.1 2.98777 345.01 289682 0 94.1752 13.2087 95.1874 1.25 1.12041
559.8 2.98777 238.872 166012 0 94.1752 13.2087 95.1874 1 1.12041
576.4 2.98777 386.555 268649 0 94.1752 13.2087 95.1874 1.25 1.12041
601.7 2.98777 249.386 173319 0 94.1752 13.2087 95.1874 1.25 1.12041
611.9 2.98777 408.836 284134 0 94.1752 13.2087 95.1874 1.25 1.12041
