TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
166.551 1.42886 13.009 78.3481 13.009 1.00276e+07 13.009 1.00276e+07 0.250006 1.44502
294.866 2.42155 27.2754 12468.2 27.2754 840.784 27.2754 840.784 0.261015 0.761012
385.558 0.394273 43.2258 31.9618 43.2258 110.382 43.2258 110.382 0.5 0.251975
449.259 0.247886 51.2335 28.9624 51.2335 110.26 51.2335 110.26 0.5 0.127688
500.674 0.833611 154.489 120.336 154.489 157.869 154.489 157.869 2 1.43808
537.1 2.98777 860.522 446257 0 150.935 154.489 157.869 1.25 1.12041
559.8 2.98777 708.888 492665 0 150.935 154.489 157.869 1 1.12041
576.4 2.98777 918.053 638030 0 150.935 154.489 157.869 1.25 1.12041
601.7 2.98777 825.011 573369 0 150.935 154.489 157.869 1.25 1.12041
611.9 2.98777 748.202 519988 0 150.935 154.489 157.869 1.25 1.12041
