TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.315 3.18094 2.3163e-08 2.54463 2.3163e-08 68.9632 2.3163e-08 68.9632 1.54869 0.770962
293.6 0.445131 41.8425 37.8394 41.8425 100.59 41.8425 100.59 1.55726 0.787917
384.305 0.22649 78.3191 30.6143 78.3191 82.472 78.3191 82.472 0.652212 0.177941
449.273 3.24647 21.6625 44.5122 21.6625 0 21.6625 0 0.738738 1.31723
501.551 0.44395 38.7309 22.0097 38.7309 95.897 38.7309 95.897 0.677318 0.240996
537.1 2.98777 238.046 137675 0 93.2415 38.7309 95.897 1.25 1.12041
559.8 2.98777 275.361 191371 0 93.2415 38.7309 95.897 1 1.12041
576.4 2.98777 413.176 287150 0 93.2415 38.7309 95.897 1.25 1.12041
601.7 2.98777 342.531 238053 0 93.2415 38.7309 95.897 1.25 1.12041
611.9 2.98777 318.676 221474 0 93.2415 38.7309 95.897 1.25 1.12041
