TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
166.19 1.0802 50.0595 709.606 50.0595 172.825 50.0595 172.825 0.296811 1.47529
293.6 3.98569 13.5808 82.1096 13.5808 114.54 13.5808 114.54 0.25 1.49968
387.231 0.193193 59.3688 26.0631 59.3688 88.5002 59.3688 88.5002 0.5 0.120573
451.658 0.753671 7.61896 24.3703 7.61896 87.4077 7.61896 87.4077 0.500001 1.04129
502.5 3.99126 19.5305 40.7215 19.5305 124.875 19.5305 124.875 0.730837 1.27821
537.245 2.92382 504884 736100 0 120.794 19.5305 124.875 1.3828 1.1706
561.091 2.20952 142173 328666 0 120.794 19.5305 124.875 0.380339 0.802841
576.664 2.8676 368354 669636 0 120.794 19.5305 124.875 1.74192 1.23721
601.431 3.09245 625790 814935 0 120.794 19.5305 124.875 1.80464 1.23341
613.639 3.22201 588096 619009 0 120.794 19.5305 124.875 1.98374 1.13638
