TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.09 0.852222 32.3306 3076.94 32.3306 483.154 32.3306 483.154 0.25065 1.47745
293.656 2.90592 122.972 68.8444 122.972 133.221 122.972 133.221 1.17192 0.455942
384.1 0.0787997 48.3027 89.3513 48.3027 119.486 48.3027 119.486 0.520512 0.89697
449.757 0.477978 21.3396 29.5779 21.3396 125.312 21.3396 125.312 0.5 0.332109
500.549 0.341005 36.2224 24.8649 36.2224 157.474 36.2224 157.474 0.5 0.14464
537.1 2.98777 795.854 453297 0 155.851 36.2224 157.474 1.25 1.12041
559.8 2.98777 757.628 526539 0 155.851 36.2224 157.474 1 1.12041
576.4 2.98777 948.602 659262 0 155.851 36.2224 157.474 1.25 1.12041
601.7 2.98777 824.837 573248 0 155.851 36.2224 157.474 1.25 1.12041
611.9 2.98777 878.103 610266 0 155.851 36.2224 157.474 1.25 1.12041
