TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.05 2.7698 2.10242e-07 2.02543 4.08968e-08 8.61276 4.08968e-08 8.61276 0.250209 1.15356
297.6 0.180265 31.9428 27.283 31.9428 80.7593 31.9428 80.7593 0.863267 0.390197
384.1 2.57668 74.0626 52.9258 74.0624 91.2951 74.0624 91.2951 2 1.01571
450.833 2.86613 3.14101e-09 5.45455 2.50247e-09 67.3058 2.50247e-09 67.3058 0.5 1.06674
500.362 0.684518 23.7867 19.6944 23.7867 94.7935 23.7867 94.7935 0.670426 0.299123
537.1 2.98777 281.996 147337 0 92.6232 23.7867 94.7935 1.25 1.12041
559.8 2.98777 318.342 221242 0 92.6232 23.7867 94.7935 1 1.12041
576.4 2.98777 310.697 215929 0 92.6232 23.7867 94.7935 1.25 1.12041
601.7 2.98777 369.602 256867 0 92.6232 23.7867 94.7935 1.25 1.12041
611.9 2.98777 330.875 229952 0 92.6232 23.7867 94.7935 1.25 1.12041
