TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
166.079 3.18988 2.12312e-09 7.03792 2.12094e-09 154.724 2.12094e-09 154.724 1.70418 1.17467
296.034 3.1474 4.15163e-06 42.2935 4.15163e-06 148.671 4.15163e-06 148.671 0.25011 1.06013
384.1 0.284873 39.6131 83.2248 39.6131 3498.73 39.6131 3498.73 0.537603 0.973554
453.1 0.708989 22.1474 73.1544 22.1474 7326.37 22.1474 7326.37 0.500001 1.41937
499.38 2.43919 6.39683 34.4381 6.39683 193.306 6.39683 193.306 0.5 1.49429
537.1 2.98777 1308.4 918036 0 191.401 6.39683 193.306 1.25 1.12041
559.8 2.98777 1132.9 787347 0 191.401 6.39683 193.306 1 1.12041
576.4 2.98777 1281.28 890470 0 191.401 6.39683 193.306 1.25 1.12041
601.7 2.98777 1234.13 857700 0 191.401 6.39683 193.306 1.25 1.12041
611.9 2.98777 1247.02 866657 0 191.401 6.39683 193.306 1.25 1.12041
