TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.5 2.84102 1.23092e-09 4.66079 5.80258e-10 71.9703 5.80258e-10 71.9703 0.250005 1.06789
294.877 0.619256 41.4253 714.492 41.4253 255.558 41.4253 255.558 0.261214 1.16259
388.1 0.157224 39.6096 23.7534 39.6096 4129.46 39.6096 4129.46 0.5 0.159573
452.441 0.76354 123.127 100.824 123.117 86.1923 123.117 86.1923 2 1.47938
498.624 0.262909 32.4233 17.5976 32.4233 107.213 32.4233 107.213 0.5 0.104524
537.1 2.98777 494.276 281526 0 105.976 32.4233 107.213 1.25 1.12041
559.8 2.98777 358.448 249115 0 105.976 32.4233 107.213 1 1.12041
576.4 2.98777 439.052 305133 0 105.976 32.4233 107.213 1.25 1.12041
601.7 2.98777 411.635 286079 0 105.976 32.4233 107.213 1.25 1.12041
611.9 2.98777 414.377 287985 0 105.976 32.4233 107.213 1.25 1.12041
