TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
163.665 3.16726 1.62832e-10 6.35163 1.6189e-10 125.158 1.6189e-10 125.158 1.55512 1.23335
296.89 0.177418 110.202 621.545 110.202 301.609 110.202 301.609 0.250649 1.31358
385.719 0.267024 64.4849 38.6042 64.4849 124.047 64.4849 124.047 0.5 0.197315
453.1 0.156752 28.7738 61.8789 28.7738 121.813 28.7738 121.813 0.5 0.946751
499.844 0.186012 71.524 33.3978 71.524 165.341 71.524 165.341 0.5 0.137779
537.1 2.98777 864.265 796672 0 163.128 71.524 165.341 1.25 1.12041
559.8 2.98777 701.647 487633 0 163.128 71.524 165.341 1 1.12041
576.4 2.98777 938.158 652003 0 163.128 71.524 165.341 1.25 1.12041
601.7 2.98777 792.199 550564 0 163.128 71.524 165.341 1.25 1.12041
611.9 2.98777 940.247 653455 0 163.128 71.524 165.341 1.25 1.12041
