TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.5 0.391734 124.798 86.5559 124.798 262.33 124.798 262.33 0.671532 0.284056
297.458 2.75288 33.4494 142.018 33.4494 299.278 33.4494 299.278 0.25 0.779797
384.1 0.567142 67.3738 203.727 67.3738 327.613 67.3738 327.613 0.519455 1.43191
451.331 0.594218 115.322 182.867 115.322 320.446 115.322 320.446 0.583351 0.841758
501.269 0.827614 196.569 128.475 196.569 399.946 196.569 399.946 1.31379 0.604336
537.1 2.98777 5367.32 4.63159e+06 0 374.895 196.569 399.946 1.25 1.12041
559.8 2.98777 4186.9 2.90983e+06 0 374.895 196.569 399.946 1 1.12041
576.4 2.98777 5381.94 3.74035e+06 0 374.895 196.569 399.946 1.25 1.12041
601.7 2.98777 4951.64 3.4413e+06 0 374.895 196.569 399.946 1.25 1.12041
611.9 2.98777 4895.24 3.4021e+06 0 374.895 196.569 399.946 1.25 1.12041
