TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.5 3.80667 19.1294 108.863 19.1294 379805 19.1294 379805 0.250002 1.39441
297.544 3.06836 88.6671 72.131 88.6671 1331.4 88.6671 1331.4 0.488664 0.303081
387.286 0.649134 96.1358 84.5887 96.1358 256.029 96.1358 256.029 0.776859 0.415679
449.894 0.458391 151.516 112.998 151.516 229.16 151.516 229.16 0.79746 0.441311
499.853 0.293491 88.9832 229.568 88.9832 301.251 88.9832 301.251 0.500001 1.26183
537.1 2.98777 3364.9 1.96192e+06 0 297.455 88.9832 301.251 1.25 1.12041
559.8 2.98777 2712.77 1.88533e+06 0 297.455 88.9832 301.251 1 1.12041
576.4 2.98777 3296.47 2.29099e+06 0 297.455 88.9832 301.251 1.25 1.12041
601.7 2.98777 3066.61 2.13124e+06 0 297.455 88.9832 301.251 1.25 1.12041
611.9 2.98777 3219.89 2.23777e+06 0 297.455 88.9832 301.251 1.25 1.12041
