TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.47 3.00144 1.65345e-07 1.61094 1.65344e-07 62.0475 1.65344e-07 62.0475 1.47891 1.23718
296.739 1.08245 18.4964 132.462 18.4964 91.2447 18.4964 91.2447 0.288408 1.47748
385.308 0.506886 32.3481 46.8682 32.3481 62.2366 32.3481 62.2366 0.57838 0.771706
451.121 0.341227 52.0162 27.5862 52.0162 61.7119 52.0162 61.7119 0.771218 0.276017
498.5 0.209168 24.8957 13.5925 24.8957 83.172 24.8957 83.172 0.5 0.0964096
537.1 2.98777 334.913 276942 0 82.1941 24.8957 83.172 1.25 1.12041
559.8 2.98777 201.784 140236 0 82.1941 24.8957 83.172 1 1.12041
576.4 2.98777 258.496 179650 0 82.1941 24.8957 83.172 1.25 1.12041
601.7 2.98777 269.288 187151 0 82.1941 24.8957 83.172 1.25 1.12041
611.9 2.98777 296.095 205781 0 82.1941 24.8957 83.172 1.25 1.12041
