TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
165.897 0.25009 92.2646 534.445 92.2646 256.196 92.2646 256.196 0.275843 1.23958
294.061 2.04838 149.479 52969.7 149.479 348.834 149.479 348.834 0.292256 1.47877
384.1 0.693641 19.6163 50.8022 19.6163 113.084 19.6163 113.084 0.5 1.1368
453.1 0.0552175 55.5635 28.711 55.5635 342150 55.5635 342150 0.5 0.116307
498.5 0.312079 152.503 84.4146 152.502 150.965 152.502 150.965 2 0.941437
537.1 2.98777 773.138 401087 0 144.284 152.502 150.965 1.25 1.12041
559.8 2.98777 607.857 422450 0 144.284 152.502 150.965 1 1.12041
576.4 2.98777 681.881 473896 0 144.284 152.502 150.965 1.25 1.12041
601.7 2.98777 661.123 459469 0 144.284 152.502 150.965 1.25 1.12041
611.9 2.98777 624.699 434155 0 144.284 152.502 150.965 1.25 1.12041
