TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.498 2.88187 2.8002e-10 2.13331 2.06455e-10 102.702 2.06455e-10 102.702 0.34146 1.20519
297.558 3.78927 1.76653 34.3932 1.76653 739184 1.76653 739184 0.25 1.13943
386.567 0.365261 51.8524 38.8725 51.8524 103.099 51.8524 103.099 0.5 0.30683
450.382 0.545578 24.9747 53.3412 24.9747 102.342 24.9747 102.342 0.5 0.973083
500.954 0.195629 57.8363 42.305 57.8363 141.734 57.8363 141.734 0.5 0.301906
537.1 2.98777 670.412 554369 0 139.708 57.8363 141.734 1.25 1.12041
559.8 2.98777 630.345 438079 0 139.708 57.8363 141.734 1 1.12041
576.4 2.98777 773.364 537475 0 139.708 57.8363 141.734 1.25 1.12041
601.7 2.98777 666.638 463302 0 139.708 57.8363 141.734 1.25 1.12041
611.9 2.98777 758.074 526848 0 139.708 57.8363 141.734 1.25 1.12041
