TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.439 2.57668 2.6593e-08 12.9207 2.13813e-08 112.124 2.13813e-08 112.124 0.442236 0.762239
293.6 0.108899 221.129 198.309 221.129 131.651 221.129 131.651 1.75 1.49807
384.1 0.199801 51.9674 45.7372 51.9674 135.473 51.9674 135.473 0.800294 0.42302
449.1 0.0695873 426.273 64.8513 426.272 125.859 426.272 125.859 2 0.0833777
499.861 0.211101 767.482 58.1696 767.481 171.407 767.481 171.407 2 0.0530912
537.1 2.98777 760.997 711241 0 162.517 767.481 171.407 1.25 1.12041
559.8 2.98777 568.77 395285 0 162.517 767.481 171.407 1 1.12041
576.4 2.98777 787.042 546980 0 162.517 767.481 171.407 1.25 1.12041
601.7 2.98777 698.527 485464 0 162.517 767.481 171.407 1.25 1.12041
611.9 2.98777 807.506 561203 0 162.517 767.481 171.407 1.25 1.12041
