TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
164.005 2.18155 3.24561e-10 32.9582 1.09139e-10 38.987 1.09139e-10 38.987 0.250003 0.752169
293.6 2.05799 36.8091 220.559 36.8091 122.793 36.8091 122.793 0.25 1.49473
388.1 3.70099 133.411 93.8127 133.374 135.878 133.374 135.878 2 0.965517
451.711 1.06995 71.2398 56.1452 71.2398 143.384 71.2398 143.384 1.28053 0.577955
498.572 2.55196 5.5068e-08 51.8255 6.61885e-08 159.859 6.61885e-08 159.859 0.5 1.25293
537.1 2.98777 992.468 537594 0 159.859 6.61885e-08 159.859 1.25 1.12041
559.8 2.98777 672.873 467635 0 159.859 6.61885e-08 159.859 1 1.12041
576.4 2.98777 838.741 582911 0 159.859 6.61885e-08 159.859 1.25 1.12041
601.7 2.98777 995.993 692198 0 159.859 6.61885e-08 159.859 1.25 1.12041
611.9 2.98777 789 548341 0 159.859 6.61885e-08 159.859 1.25 1.12041
