TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
165.87 0.504855 47.8931 695.332 47.8931 268.448 47.8931 268.448 0.27297 1.41158
297.04 0.235159 32.7855 307.927 32.7855 182.128 32.7855 182.128 0.253305 0.838328
385.997 0.298525 34.4933 80.5658 34.4933 93.4358 34.4933 93.4358 0.5 1.11933
450.508 1.55633 11.0225 25.1361 11.0225 87.5629 11.0225 87.5629 0.5 0.806565
500.778 0.420491 27.6137 71.914 27.6137 123.205 27.6137 123.205 0.5 1.25511
537.1 2.98777 463.726 383459 0 121.707 27.6137 123.205 1.25 1.12041
559.8 2.98777 500.423 347786 0 121.707 27.6137 123.205 1 1.12041
576.4 2.98777 545.693 379247 0 121.707 27.6137 123.205 1.25 1.12041
601.7 2.98777 392.413 272720 0 121.707 27.6137 123.205 1.25 1.12041
611.9 2.98777 503.331 349806 0 121.707 27.6137 123.205 1.25 1.12041
