TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.135 0.947497 17.7076 508.49 17.7076 0 17.7076 0 0.292699 1.02253
293.978 0.210048 35.5043 1688.46 35.5043 644.284 35.5043 644.284 0.276344 0.762293
386.248 0.655054 51.1527 29.0966 51.1527 69.268 51.1527 69.268 1.29166 0.466746
449.1 0.261104 46.8321 34.718 46.832 0 46.832 0 2 0.924602
502.5 0.1619 45.4711 25.4512 45.4711 78.0789 45.4711 78.0789 1.35533 0.502537
537.1 2.98777 211.903 114782 0 73.4156 45.4711 78.0789 1.25 1.12041
559.8 2.98777 140.371 97555.6 0 73.4156 45.4711 78.0789 1 1.12041
576.4 2.98777 220.684 153371 0 73.4156 45.4711 78.0789 1.25 1.12041
601.7 2.98777 158.714 110304 0 73.4156 45.4711 78.0789 1.25 1.12041
611.9 2.98777 202.039 140413 0 73.4156 45.4711 78.0789 1.25 1.12041
