TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
165.736 2.83193 9.00506 15.8236 9.00506 55.3644 9.00506 55.3644 0.971355 0.623946
297.6 0.314854 11.3588 13.0119 11.3588 57.0733 11.3588 57.0733 0.464776 0.316935
388.1 0.665794 24.5184 52.4463 24.5184 55.3653 24.5184 55.3653 0.5 1.03705
452.181 0.202517 34.4111 27.0568 34.4111 50.2624 34.4111 50.2624 0.5 0.343265
501.871 0.357164 29.6641 16.9056 29.6641 68.1127 29.6641 68.1127 0.654056 0.247053
537.1 2.98777 150.398 85662.3 0 65.8651 29.6641 68.1127 1.25 1.12041
559.8 2.98777 137.865 95813.5 0 65.8651 29.6641 68.1127 1 1.12041
576.4 2.98777 161.176 112015 0 65.8651 29.6641 68.1127 1.25 1.12041
601.7 2.98777 199.402 138581 0 65.8651 29.6641 68.1127 1.25 1.12041
611.9 2.98777 173.584 120638 0 65.8651 29.6641 68.1127 1.25 1.12041
