TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.337 0.508896 66.7496 38.7613 66.7496 81.6201 66.7496 81.6201 1.07021 0.414766
296.775 0.413479 29.1182 347.773 29.1182 139.812 29.1182 139.812 0.25006 0.985944
384.598 0.267472 51.0623 24.9311 51.0623 78.1088 51.0623 78.1088 0.5 0.169822
449.727 0.233739 51.3284 36.5681 51.3284 76.4854 51.3284 76.4854 0.5 0.304878
499.912 0.14587 58.1062 21.9523 58.1062 112.28 58.1062 112.28 0.5 0.105529
537.1 2.98777 383.604 365900 0 102.715 58.1062 112.28 1.25 1.12041
559.8 2.98777 311.538 216514 0 102.715 58.1062 112.28 1 1.12041
576.4 2.98777 375.547 260998 0 102.715 58.1062 112.28 1.25 1.12041
601.7 2.98777 482.078 335036 0 102.715 58.1062 112.28 1.25 1.12041
611.9 2.98777 502.668 349346 0 102.715 58.1062 112.28 1.25 1.12041
