TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
163.5 2.13142 5.44449 24.4738 5.44449 44.8603 5.44449 44.8603 0.250004 1.10162
296.05 0.258777 32.1673 387.487 32.1673 146.786 32.1673 146.786 0.299631 1.36745
387.311 0.18508 33.5069 12.5822 33.5069 44.6945 33.5069 44.6945 0.5 0.0740055
452.321 0.53119 8.66819 19.1291 8.66819 39.7957 8.66819 39.7957 0.5 0.967242
500.55 0.253625 94.2955 25.3487 94.2955 63.2842 94.2955 63.2842 1.14184 0.235871
537.1 2.98777 195.243 187882 0 57.8703 94.2955 63.2842 1.25 1.12041
559.8 2.98777 145.463 101094 0 57.8703 94.2955 63.2842 1 1.12041
576.4 2.98777 119.652 83156.3 0 57.8703 94.2955 63.2842 1.25 1.12041
601.7 2.98777 101.832 70771.3 0 57.8703 94.2955 63.2842 1.25 1.12041
611.9 2.98777 82.6404 57433.6 0 57.8703 94.2955 63.2842 1.25 1.12041
