TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
167.495 2.77543 4.36531 20.5956 4.36531 95.3909 4.36531 95.3909 0.250029 1.05366
294.633 3.35273 9.07583 780.71 9.07583 98.9502 9.07583 98.9502 0.250001 0.794699
384.1 2.86312 149.09 53.2057 149.09 103.51 149.09 103.51 2 0.256216
449.747 0.295319 43.7828 83.6273 43.7828 94.0927 43.7828 94.0927 0.5 0.922814
502.5 0.155151 33.5771 20.5223 33.5771 127.281 33.5771 127.281 0.5 0.13127
537.1 2.98777 563.991 321234 0 125.925 33.5771 127.281 1.25 1.12041
559.8 2.98777 477.93 332153 0 125.925 33.5771 127.281 1 1.12041
576.4 2.98777 673.656 468179 0 125.925 33.5771 127.281 1.25 1.12041
601.7 2.98777 548.325 381076 0 125.925 33.5771 127.281 1.25 1.12041
611.9 2.98777 556.68 386883 0 125.925 33.5771 127.281 1.25 1.12041
