TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
163.5 2.08422 8.92434 53.9569 8.92434 75.6691 8.92434 75.6691 0.250009 1.49486
295.148 0.839235 17.1475 136.062 17.1475 132.447 17.1475 132.447 0.250061 1.21297
385.545 0.428231 26.2583 22.0787 26.2583 82.8025 26.2583 82.8025 0.5 0.255787
451.531 0.380657 36.5296 25.956 36.5296 81.7589 36.5296 81.7589 0.5 0.260736
501.451 0.282072 31.4492 17.7639 31.4492 112.368 31.4492 112.368 0.5 0.100957
537.1 2.98777 520.452 399939 0 111.137 31.4492 112.368 1.25 1.12041
559.8 2.98777 355.053 246756 0 111.137 31.4492 112.368 1 1.12041
576.4 2.98777 404.063 280817 0 111.137 31.4492 112.368 1.25 1.12041
601.7 2.98777 525.935 365516 0 111.137 31.4492 112.368 1.25 1.12041
611.9 2.98777 438.725 304906 0 111.137 31.4492 112.368 1.25 1.12041
