TestResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
166.468 2.34653 2.19902 20.5307 2.19902 110.707 2.19902 110.707 0.252775 1.04505
294.5 2.09567 20.4855 71.2198 20.4855 109.633 20.4855 109.633 0.250001 0.856775
388.038 3.96592 100.808 89.7685 100.783 166.846 100.783 166.846 2 1.33215
453.1 0.68374 108.026 100.124 107.996 116.851 107.996 116.851 2 1.4995
499.868 0.223433 56.0528 137.527 56.0528 141.144 56.0528 141.144 0.500001 1.20908
537.1 2.98777 791.155 408349 0 139.213 56.0528 141.144 1.25 1.12041
559.8 2.98777 641.07 445533 0 139.213 56.0528 141.144 1 1.12041
576.4 2.98777 718.306 499210 0 139.213 56.0528 141.144 1.25 1.12041
601.7 2.98777 628.224 436604 0 139.213 56.0528 141.144 1.25 1.12041
611.9 2.98777 680.706 473079 0 139.213 56.0528 141.144 1.25 1.12041
